"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00057	0.025	NC_017592.1	1	2036867	2057878	1675800	82.2734	117.366	35.4	46.9"
"CS00057	0.05	NC_017592.1	1	2036867	4116255	1827938	89.7426	234.773	35.4	46.9"
"CS00057	0.075	NC_017592.1	1	2036867	6169281	1886714	92.6282	351.901	35.4	46.9"
"CS00057	0.125	NC_017592.1	1	2036867	10279409	1946125	95.545	586.33	35.4	46.9"
"CS00057	0.1	NC_017592.1	1	2036867	8224016	1921443	94.3333	469.076	35.4	46.9"
"CS00057	0.25	NC_017592.1	1	2036867	20549185	1994752	97.9324	1172.18	35.4	46.9"
"CS00057	0.5	NC_017592.1	1	2036867	41108313	2018156	99.0814	2344.93	35.4	46.9"
"CS00057	1.0	NC_017592.1	1	2036867	82195906	2026646	99.4982	4688.97	35.4	46.9"
"CS00058	0.025	NC_017592.1	1	2036867	735152	1179531	57.9091	40.4742	35.6	43"
"CS00058	0.05	NC_017592.1	1	2036867	1469469	1429325	70.1727	80.9116	35.6	43"
"CS00058	0.075	NC_017592.1	1	2036867	2204924	1561666	76.67	121.436	35.6	43"
"CS00058	0.125	NC_017592.1	1	2036867	3672971	1706740	83.7924	202.347	35.6	43"
"CS00058	0.1	NC_017592.1	1	2036867	2938815	1646069	80.8138	161.899	35.6	43"
"CS00058	0.25	NC_017592.1	1	2036867	7348291	1844639	90.5626	404.741	35.6	43"
"CS00058	0.5	NC_017592.1	1	2036867	14691999	1927453	94.6283	809.186	35.6	43"
"CS00058	1.0	NC_017592.1	1	2036867	29386650	1976333	97.0281	1618.47	35.6	43"
"CS00059	0.025	NC_017592.1	1	2036867	550356	735718	36.1201	25.4537	35.7	31.6"
"CS00059	0.05	NC_017592.1	1	2036867	1100996	963128	47.2848	50.9145	35.7	31.6"
"CS00059	0.075	NC_017592.1	1	2036867	1648622	1109621	54.4769	76.1824	35.7	31.6"
"CS00059	0.125	NC_017592.1	1	2036867	2749017	1303644	64.0024	127.002	35.7	31.6"
